m,ACS1_R,ACS1_entropy,ACS1_u,Discop_R,Discop_entropy,Discop_u,ACS2_R,ACS2_entropy,ACS2_u
63,3.7133097165991904,3.778977711869133,0.982446166327834,3.1731225429975427,3.5283749639388495,0.8915491457532234,3.548927738927739,3.618160385463567,0.9816734467499184
64,3.0525028905005227,3.1251962179023525,0.9822144937638209,3.0027479043997216,3.4376938387811804,0.8719003666307797,3.238627442563369,3.337748650209369,0.9667253464863602
65,3.4925183223209544,3.6114799542280416,0.9672522818480985,3.353373300675932,3.78595966079561,0.8799604199729167,4.031033635005906,4.091602118410767,0.9867084658946961
66,3.2893147566718994,3.427947881203991,0.957482422893696,2.912107950872657,3.278938369649206,0.8857967382904125,3.2888570969981963,3.407764603155738,0.957750581115213
67,2.500046570552498,2.5804530113027324,0.9733675427206336,2.3552064436209417,2.7074122553212776,0.8517455013005725,2.578382460170931,2.649462755322189,0.9709149321086279
68,3.4280947333029714,3.4971504562165903,0.9810720795955161,2.910969208409347,3.28697730942608,0.8767606733640037,3.3546263508232945,3.441969219311847,0.9753512729027889
69,2.769403081778571,2.834592389350843,0.9766478942286057,2.4553667936268195,2.7948636048223197,0.876220066410806,2.741519429181211,2.817367929950154,0.972542568616624
70,2.9113178758277245,2.9567587751828923,0.9861061133091866,2.6925347574588563,3.105103706951103,0.8680467180130487,2.7794997990586223,2.955945676667338,0.9521583836766192
71,3.57573210448946,3.6576984128052907,0.9760749783112072,3.2063306100217863,3.542585993354412,0.89957520785507,3.394300838050838,3.456742434647036,0.9835877078819373
72,2.9225994406781206,3.035861710181682,0.9685400509115203,2.8111826324326135,3.205066060304875,0.8718014582313272,3.1053636765711072,3.1555081701272867,0.9831679758585281
73,3.5566108058608057,3.666719790803634,0.9718088081865565,3.258764685721224,3.6579482992355956,0.8834123112686427,3.35877074334302,3.416407454115185,0.9802478857030452
74,2.794907441486389,2.8604603287446158,0.9788629978059614,2.4761853786310306,2.8229228865870386,0.866357776027491,2.7859482924482926,2.8797085729807503,0.9712547220905122
75,3.3448124608288277,3.445092293387687,0.9732098581908696,2.8295386344438205,3.2421113655387073,0.8639439118806951,3.120544202529497,3.1780628677276166,0.9831288714987249
76,3.6529336290949197,3.754060467458525,0.9763105632605307,3.554266737146533,3.9307130902012375,0.9022378248937242,3.9094037145650047,3.987619505090283,0.9808348630849799
77,3.219246573898377,3.2934973306740667,0.9771209526715469,3.0605782871156384,3.456502421324829,0.8796900682736327,3.3533908738459823,3.433958583113642,0.9752519106534857
78,3.1056103067394814,3.156096173027695,0.9840671824643055,2.684016113272015,3.1174433187589035,0.8596474481337515,3.235448939155211,3.283447702824315,0.9859862386947722
79,2.9304740044492226,3.03484781899183,0.9672646494161867,2.7445517144580793,3.0820214276762576,0.8869486336568538,2.9900873988172934,3.092191442878593,0.9682592172272491
80,3.3430536737422614,3.358108588638938,0.9960381417729449,2.978828177310151,3.3808221915858665,0.8721756982378238,3.5060291801912578,3.596760999093212,0.9768246014027285
81,2.731897174914297,2.80586177431521,0.9784949013458414,2.478834343151953,2.8272633113241596,0.8599848365965951,2.776216594254135,2.8323533420748976,0.9841086043530961
82,3.2848341847370413,3.3537085220030414,0.9761657001364586,3.1723539762023614,3.4555759504457777,0.9101981526107787,3.3816360695905203,3.438265331025007,0.9826116140439849
83,3.3718513228285523,3.4179309429226294,0.9858924375371391,2.985557097258075,3.338649247621265,0.8911044884317187,3.4083753553330864,3.5127089688883544,0.972029802007311
84,2.75916089974226,2.774374074649028,0.9938762731692552,2.2783234747615273,2.6288301495201325,0.8615920453680962,2.606429434849973,2.659556472941839,0.9782841286969551
85,3.0277635610252194,3.104486325392406,0.9767937138482606,2.9506495326483138,3.368140777713979,0.8685405654528477,3.0525851944902285,3.130777388121232,0.9766662020165731
86,3.2683416305916304,3.321728499091601,0.9824734448190174,3.0314757648923947,3.4386893404851335,0.8713487656949429,3.3310255291710917,3.37582880336027,0.9852274799199325
87,3.0154096968976267,3.055872870943207,0.9858755292454177,2.950377407615099,3.2872422930189154,0.8915040925296873,3.0540926760462357,3.0955173336114874,0.9866450566693313
88,2.9137069637174666,3.0058290840732003,0.9691054880099109,2.6781241617024465,3.0110222809411313,0.8818317173062165,3.089337310092728,3.132331295599413,0.9841765350961376
89,2.9974951987247813,3.0912563132702595,0.9727886307743333,2.7039862872288847,3.07965064933173,0.8693515932413097,3.026147608718664,3.081734601297741,0.9832606109638646
90,2.942966487506427,2.9810700087706894,0.9861487934744657,2.5635333391861863,2.948844069585161,0.8604410305166436,3.0183867726458273,3.1096182663756524,0.9750835438093338
