 m_bits Method  R_bits_per_token  utilization  empirical_entropy_rate_bits_per_token  N_tokens_mean  N_trials
     36 Discop          2.603262     0.858130                               3.018832           14.6        10
     36   ACS2          3.043042     0.969004                               3.135435           12.5        10
     37   ACS1          3.186168     0.977987                               3.263154           12.1        10
     37 Discop          2.668546     0.845720                               3.183319           14.2        10
     37   ACS2          3.184550     0.956609                               3.333472           12.4        10
     38   ACS1          2.586894     0.952753                               2.706024           15.2        10
     38 Discop          2.752861     0.871820                               3.204447           14.3        10
     38   ACS2          2.565123     0.946698                               2.713732           15.1        10
     39   ACS1          3.127529     0.979267                               3.195681           13.0        10
     39 Discop          2.349615     0.889822                               2.642532           17.0        10
     39   ACS2          2.649114     0.960817                               2.760142           14.9        10
     40   ACS1          2.814829     0.949196                               2.972073           14.6        10
     40 Discop          3.038384     0.878226                               3.469745           14.2        10
     40   ACS2          3.141475     0.983204                               3.203350           13.4        10
     41   ACS1          3.028763     0.954946                               3.172416           13.8        10
     41 Discop          2.739486     0.873132                               3.111501           16.3        10
     41   ACS2          2.988170     0.953997                               3.133786           14.5        10
     42   ACS1          3.222290     0.951438                               3.389222           13.6        10
     42 Discop          3.000728     0.863727                               3.473544           14.6        10
     42   ACS2          2.940540     0.974847                               3.016948           14.6        10
     43   ACS1          3.464577     0.946272                               3.665112           12.7        10
     43 Discop          2.749956     0.872280                               3.162094           16.4        10
     43   ACS2          3.225290     0.956068                               3.389377           14.0        10
     44   ACS1          2.777254     0.977893                               2.842812           16.2        10
     44 Discop          2.867960     0.886450                               3.237876           15.7        10
     44   ACS2          3.183858     0.964370                               3.299698           14.8        10
     45   ACS1          2.960526     0.954743                               3.104156           16.2        10
     45 Discop          3.010327     0.856178                               3.520645           15.4        10
     45   ACS2          3.144643     0.956761                               3.305138           15.0        10
     46   ACS1          3.293392     0.961436                               3.440162           14.5        10
     46 Discop          2.723785     0.885171                               3.067476           18.7        10
     46   ACS2          3.178594     0.959030                               3.314147           15.0        10
