 m_bits Method  R_bits_per_token  utilization  empirical_entropy_rate_bits_per_token  N_tokens_mean  N_trials
    154   ACS2          3.050586     0.985187                               3.098514           53.9        10
    155   ACS1          2.792035     0.984934                               2.838388           58.7        10
    155 Discop          2.760950     0.892717                               3.096046           56.8        10
    155   ACS2          2.830893     0.986718                               2.871301           57.0        10
    156   ACS1          2.595553     0.992523                               2.617039           62.6        10
    156 Discop          2.836661     0.899142                               3.151498           57.4        10
    156   ACS2          3.248734     0.990776                               3.280674           49.9        10
    157   ACS1          2.699365     0.996502                               2.709136           59.5        10
    157 Discop          2.619149     0.875557                               2.975764           66.4        10
    157   ACS2          3.088510     0.987617                               3.128621           51.7        10
    158   ACS1          2.983713     0.991515                               3.011415           53.6        10
    158 Discop          2.602676     0.875314                               2.971621           62.6        10
    158   ACS2          2.872233     0.990495                               2.901099           55.3        10
    159   ACS1          2.802328     0.994105                               2.818666           57.1        10
    159 Discop          2.704596     0.888406                               3.044628           60.0        10
    159   ACS2          3.122650     0.986232                               3.169260           52.6        10
    160   ACS1          2.868945     0.981855                               2.920026           56.9        10
    160 Discop          2.500367     0.871410                               2.868321           65.2        10
    160   ACS2          3.243309     0.989686                               3.274289           52.0        10
    161   ACS1          2.762591     0.989966                               2.789783           59.5        10
    161 Discop          2.702225     0.891796                               3.024756           61.5        10
    161   ACS2          2.936608     0.992358                               2.962491           59.0        10
    162   ACS1          3.074614     0.990866                               3.102005           53.6        10
    162 Discop          2.895326     0.887702                               3.257893           56.9        10
    162   ACS2          2.858831     0.993145                               2.878911           57.7        10
    163   ACS1          3.415261     0.976934                               3.497015           48.4        10
    163 Discop          2.746465     0.894526                               3.064228           60.7        10
    163   ACS2          2.853538     0.988658                               2.883890           59.5        10
    164   ACS1          2.802704     0.983987                               2.850400           59.3        10
    164 Discop          2.892664     0.898263                               3.215537           60.3        10
    164   ACS2          2.595943     0.987392                               2.635695           69.3        10
    165   ACS1          2.570784     0.984354                               2.617226           67.2        10
    165 Discop          2.554810     0.881498                               2.877641           69.2        10
    165   ACS2          2.747793     0.984442                               2.787511           62.3        10
    166   ACS1          2.920652     0.990557                               2.954008           60.6        10
    166 Discop          2.852455     0.902214                               3.159404           59.8        10
    166   ACS2          3.054327     0.992136                               3.079374           56.1        10
    167   ACS1          2.843905     0.992381                               2.867188           61.5        10
    167 Discop          2.537908     0.898901                               2.823619           67.1        10
    167   ACS2          2.775429     0.986876                               2.812361           62.0        10
    168   ACS1          2.952448     0.993189                               2.971715           58.2        10
    168 Discop          2.670336     0.889599                               2.996013           65.5        10
    168   ACS2          3.342988     0.983713                               3.397421           52.3        10
    169   ACS1          2.827002     0.991895                               2.852377           61.8        10
    169 Discop          2.584912     0.889132                               2.902853           69.5        10
    169   ACS2          2.579528     0.995936                               2.591413           69.4        10
    170   ACS1          2.992065     0.987607                               3.029542           57.7        10
    170 Discop          2.706175     0.907779                               2.980752           64.8        10
    170   ACS2          2.775952     0.993159                               2.796591           63.8        10
    171   ACS1          2.899608     0.991821                               2.923174           61.7        10
    171 Discop          2.676106     0.878045                               3.032773           70.7        10
    171   ACS2          3.102795     0.987786                               3.143504           57.1        10
    172   ACS1          2.930980     0.994247                               2.947710           60.3        10
    172 Discop          2.482611     0.880574                               2.804342           71.9        10
    172   ACS2          2.685953     0.990979                               2.712792           71.1        10
    173   ACS1          3.085025     0.994896                               3.102075           58.5        10
    173 Discop          2.537732     0.877418                               2.879312           73.2        10
    173   ACS2          2.949029     0.992098                               2.971339           61.5        10
    174   ACS1          2.942628     0.989823                               2.974188           62.5        10
    174 Discop          2.589908     0.892768                               2.890553           69.3        10
    174   ACS2          2.693521     0.990472                               2.719795           65.8        10
    175   ACS1          3.017049     0.981972                               3.076359           60.9        10
    175 Discop          2.629728     0.905816                               2.910298           68.4        10
    175   ACS2          3.095455     0.993498                               3.115231           58.4        10
    176   ACS1          3.059041     0.981590                               3.122410           60.5        10
    176 Discop          3.007682     0.887936                               3.387293           59.3        10
    176   ACS2          2.907984     0.995432                               2.921168           65.4        10
    177   ACS1          2.865469     0.982059                               2.918716           63.0        10
    177 Discop          2.892208     0.888192                               3.232014           67.3        10
    177   ACS2          3.237539     0.987576                               3.279717           55.9        10
    178   ACS1          2.827397     0.980363                               2.883121           64.8        10
    178 Discop          2.668839     0.896897                               2.967704           69.3        10
    178   ACS2          2.839820     0.991988                               2.862486           65.4        10
    179   ACS1          2.689872     0.990817                               2.716309           71.0        10
    179 Discop          2.507317     0.882096                               2.830565           79.2        10
    179   ACS2          2.944212     0.993437                               2.967362           62.6        10
    180   ACS1          2.792156     0.992923                               2.813923           68.3        10
    180 Discop          2.397787     0.878993                               2.719812           78.0        10
    180   ACS2          2.920774     0.992575                               2.943914           65.5        10
    181   ACS1          2.780173     0.993459                               2.797705           66.8        10
    181 Discop          2.089037     0.875127                               2.376361           99.3        10
    181   ACS2          2.898138     0.991429                               2.922693           65.3        10
    182   ACS1          3.363516     0.992832                               3.391369           55.8        10
    182 Discop          2.848666     0.898978                               3.165656           65.2        10
    182   ACS2          2.764153     0.991835                               2.786569           68.9        10
    183   ACS1          2.750759     0.984126                               2.791360           68.6        10
    183 Discop          2.619057     0.885207                               2.952924           72.4        10
    183   ACS2          2.830691     0.990875                               2.857341           67.6        10
    184   ACS1          2.776866     0.994358                               2.797009           69.3        10
    184 Discop          2.334844     0.879792                               2.650658           82.6        10
    184   ACS2          2.802722     0.986279                               2.842776           66.5        10
    185   ACS1          2.856060     0.992802                               2.877270           66.8        10
    185 Discop          2.334640     0.883527                               2.647315           82.3        10
    185   ACS2          3.154257     0.987790                               3.192087           60.6        10
    186   ACS1          3.162305     0.992561                               3.186534           60.1        10
    186 Discop          2.955901     0.894814                               3.282822           68.5        10
    186   ACS2          2.816778     0.991689                               2.839341           68.5        10
    187   ACS1          2.902098     0.989130                               2.933971           65.8        10
    187 Discop          2.171000     0.872608                               2.491668           87.7        10
    187   ACS2          2.531197     0.990157                               2.558337           76.5        10
    188   ACS1          2.948896     0.991953                               2.971958           66.5        10
    188 Discop          2.593851     0.870695                               2.958725           84.5        10
    188   ACS2          2.899926     0.995370                               2.912562           67.7        10
    189   ACS1          3.034302     0.990451                               3.061175           65.5        10
    189 Discop          2.519461     0.879959                               2.838510           82.1        10
    189   ACS2          2.883941     0.993445                               2.901947           67.1        10
    190   ACS1          2.894737     0.989304                               2.927374           68.1        10
    190 Discop          2.726993     0.892502                               3.054760           72.1        10
    190   ACS2          3.019614     0.985490                               3.064824           66.5        10
    191   ACS1          2.905301     0.991753                               2.928514           67.4        10
    191 Discop          2.925847     0.892533                               3.265587           67.6        10
    191   ACS2          3.108897     0.987584                               3.146144           63.8        10
    192   ACS1          2.753653     0.991254                               2.780948           75.3        10
    192 Discop          2.509564     0.877747                               2.856362           78.6        10
    192   ACS2          2.932808     0.992611                               2.954221           67.1        10
    193   ACS1          2.721059     0.995370                               2.735250           76.6        10
    193 Discop          2.653486     0.886545                               2.988654           73.8        10
    193   ACS2          3.100470     0.988321                               3.146283           64.2        10
    194   ACS1          2.758888     0.988652                               2.793315           72.5        10
    194 Discop          2.657287     0.891592                               2.958078           77.5        10
    194   ACS2          3.231125     0.988790                               3.269203           62.8        10
    195   ACS1          2.623375     0.999572                               2.625120           77.2        10
    195 Discop          2.504885     0.891800                               2.805216           80.9        10
    195   ACS2          2.889500     0.988972                               2.924957           71.6        10
    196   ACS1          2.795494     0.995051                               2.810181           72.5        10
    196 Discop          2.280652     0.890502                               2.556537           88.0        10
    196   ACS2          2.568311     0.994210                               2.583230           77.0        10
    197   ACS1          2.957251     0.988982                               2.991045           68.3        10
    197 Discop          2.560431     0.883976                               2.878396           83.0        10
    197   ACS2          3.061723     0.987309                               3.101548           66.2        10
    198   ACS1          3.062734     0.992410                               3.091176           69.4        10
    198 Discop          2.395229     0.884603                               2.691622           91.9        10
    198   ACS2          2.914829     0.989615                               2.943541           69.8        10
    199   ACS1          2.764484     0.992601                               2.786721           74.1        10
    199 Discop          2.433933     0.887351                               2.733244           86.3        10
    199   ACS2          2.886208     0.986124                               2.927676           72.4        10
    200   ACS1          3.045349     0.990226                               3.080935           68.9        10
    200 Discop          2.723523     0.894464                               3.035439           77.9        10
    200   ACS2          3.225286     0.991067                               3.257892           63.4        10
    201   ACS1          2.891455     0.995331                               2.906911           74.1        10
    201 Discop          2.716723     0.895030                               3.029606           76.6        10
    201   ACS2          2.782939     0.990304                               2.812626           76.2        10
    202   ACS1          2.977575     0.988324                               3.014970           69.9        10
    202 Discop          2.266019     0.866269                               2.593444           97.8        10
    202   ACS2          2.879459     0.995011                               2.896199           73.6        10
    203   ACS1          2.865174     0.992481                               2.889602           72.2        10
    203 Discop          2.439503     0.891120                               2.735272           86.1        10
    203   ACS2          2.753458     0.993721                               2.772364           76.9        10
    204   ACS1          2.685716     0.992204                               2.705696           80.5        10
    204 Discop          2.620679     0.872131                               2.998949           79.8        10
    204   ACS2          2.854244     0.991554                               2.879637           78.0        10
    205   ACS1          2.993880     0.994775                               3.012809           76.3        10
    205 Discop          2.262411     0.872794                               2.589494           96.1        10
    205   ACS2          2.980969     0.994387                               2.998427           70.1        10
    206   ACS1          2.527414     0.990231                               2.551706           87.7        10
    206 Discop          2.678066     0.888215                               3.012934           79.5        10
    206   ACS2          2.856058     0.990475                               2.885168           80.1        10
    207   ACS1          3.021817     0.990812                               3.047676           70.6        10
    207 Discop          2.190864     0.882625                               2.478620           99.5        10
    207   ACS2          2.896769     0.989122                               2.930395           74.1        10
    208   ACS1          3.358199     0.983460                               3.413635           64.9        10
    208 Discop          2.412985     0.878193                               2.730653           90.7        10
    208   ACS2          2.982817     0.982506                               3.034558           72.6        10
    209   ACS1          2.818508     0.996394                               2.828392           76.5        10
    209 Discop          2.401001     0.890747                               2.683783           93.2        10
    209   ACS2          3.018555     0.994811                               3.036856           73.8        10
    210   ACS1          2.809071     0.991892                               2.841248           81.9        10
    210 Discop          2.237440     0.880198                               2.519384          102.3        10
    210   ACS2          3.293996     0.988606                               3.336209           66.7        10
    211   ACS1          2.851317     0.991006                               2.875388           81.8        10
    211 Discop          2.428122     0.870628                               2.788220           89.6        10
    211   ACS2          2.586128     0.993192                               2.607173           84.9        10
    212   ACS1          2.984569     0.986869                               3.026516           74.6        10
    212 Discop          2.319917     0.869402                               2.658288           94.5        10
    212   ACS2          2.717159     0.992345                               2.741182           83.5        10
    213   ACS1          2.820604     0.995606                               2.833725           78.0        10
    213 Discop          2.415085     0.881003                               2.727185           91.5        10
    213   ACS2          2.966038     0.997294                               2.975526           80.7        10
    214   ACS1          3.136096     0.995140                               3.152003           70.5        10
    214 Discop          2.661531     0.895823                               2.960212           85.9        10
    214   ACS2          3.096452     0.995923                               3.109594           71.7        10
    215   ACS1          2.696836     0.996871                               2.705186           82.7        10
    215 Discop          2.353380     0.881599                               2.667280           94.8        10
    215   ACS2          2.990382     0.993806                               3.010126           75.1        10
    216   ACS1          3.275389     0.992850                               3.298645           67.4        10
    216 Discop          2.595342     0.895002                               2.895767           85.3        10
    216   ACS2          2.924988     0.998175                               2.929855           80.0        10
    217   ACS1          2.973359     0.993573                               2.992429           76.0        10
    217 Discop          2.839929     0.904141                               3.134600           79.3        10
    217   ACS2          3.010022     0.992872                               3.032525           74.2        10
    218   ACS1          2.727058     0.994356                               2.743321           81.5        10
    218 Discop          2.995767     0.902223                               3.314309           75.3        10
    218   ACS2          2.855466     0.995319                               2.868542           78.4        10
    219   ACS1          2.628814     0.988430                               2.658441           87.2        10
    219 Discop          2.618642     0.889417                               2.936954           87.0        10
    219   ACS2          2.949354     0.992491                               2.971741           76.5        10
    220   ACS1          3.077043     0.988387                               3.112256           75.4        10
    220 Discop          2.985935     0.895507                               3.334886           80.1        10
    220   ACS2          2.706771     0.994800                               2.720802           89.1        10
    221   ACS1          2.761658     0.993546                               2.779181           84.3        10
    221 Discop          2.608636     0.880210                               2.950928           90.0        10
    221   ACS2          2.857306     0.993172                               2.880522           80.0        10
    222   ACS1          2.570318     0.990962                               2.592606           92.8        10
    222 Discop          2.614654     0.880530                               2.968929           87.1        10
    222   ACS2          2.564181     0.994796                               2.576711           90.4        10
    223   ACS1          2.744765     0.992285                               2.765181           83.9        10
    223 Discop          2.158168     0.878208                               2.457520          108.2        10
    223   ACS2          3.165998     0.988124                               3.204062           73.6        10
    224   ACS1          3.065359     0.996315                               3.076659           73.7        10
    224 Discop          2.398344     0.885057                               2.690717          102.2        10
    224   ACS2          2.965710     0.993114                               2.987085           78.4        10
    225   ACS1          2.945538     0.991196                               2.971001           78.4        10
    225 Discop          2.373872     0.879134                               2.701256           98.5        10
    225   ACS2          3.146102     0.996156                               3.160264           77.1        10
    226   ACS1          2.802799     0.994223                               2.819991           83.6        10
    226 Discop          2.575449     0.878812                               2.905907           98.7        10
    226   ACS2          2.839309     0.996213                               2.849937           81.3        10
    227   ACS1          2.774244     0.994168                               2.790930           83.7        10
    227 Discop          2.230329     0.868531                               2.549301          110.1        10
    227   ACS2          2.745849     0.994373                               2.762340           86.7        10
    228   ACS1          2.939828     0.988665                               2.972730           80.1        10
    228 Discop          2.324805     0.887641                               2.615900          102.3        10
    228   ACS2          2.471382     0.990957                               2.498444           97.0        10
    229   ACS1          3.145962     0.993237                               3.170290           78.3        10
    229 Discop          2.499770     0.868546                               2.863989           96.9        10
    229   ACS2          2.765508     0.995147                               2.778741           84.8        10
    230   ACS1          3.323748     0.991725                               3.351728           71.2        10
    230 Discop          2.400933     0.904770                               2.650888          102.4        10
    230   ACS2          2.482096     0.993736                               2.498362          101.3        10
    231   ACS1          3.078614     0.990653                               3.109429           78.4        10
    231 Discop          2.445346     0.880102                               2.771848           98.4        10
    231   ACS2          2.946021     0.993103                               2.965009           80.2        10
    232   ACS1          2.633591     0.994151                               2.649420           91.1        10
    232 Discop          2.661023     0.884346                               3.000230           91.2        10
    232   ACS2          2.821065     0.989546                               2.856701           91.3        10
    233   ACS1          2.945628     0.992875                               2.967271           80.4        10
    233 Discop          2.556702     0.887794                               2.877267           93.9        10
    233   ACS2          2.893105     0.992893                               2.916839           84.3        10
    234   ACS1          3.010010     0.990443                               3.038998           80.1        10
    234 Discop          2.433632     0.876743                               2.762250          104.5        10
    234   ACS2          3.140134     0.996055                               3.153223           77.2        10
    235   ACS1          3.063324     0.994691                               3.080187           80.3        10
    235 Discop          2.209140     0.881486                               2.499351          112.8        10
    235   ACS2          3.110215     0.989150                               3.145271           78.4        10
    236   ACS1          2.820450     0.993671                               2.838554           86.7        10
    236 Discop          2.615146     0.895518                               2.908380           96.5        10
    236   ACS2          2.715552     0.993883                               2.733237           89.3        10
    237   ACS1          2.835464     0.994685                               2.849361           87.3        10
    237 Discop          2.577510     0.896491                               2.867855           96.7        10
    237   ACS2          3.025801     0.987503                               3.064830           79.8        10
    238   ACS1          2.852899     0.991462                               2.878951           88.5        10
    238 Discop          2.624484     0.872812                               2.998899           94.3        10
    238   ACS2          2.405261     0.989558                               2.433048          107.1        10
    239   ACS1          3.004833     0.993066                               3.024256           85.1        10
    239 Discop          2.473856     0.887414                               2.777710          101.1        10
    239   ACS2          2.795916     0.991687                               2.817173           93.8        10
    240   ACS1          2.821662     0.996445                               2.831893           89.0        10
    240 Discop          2.212109     0.876535                               2.516348          119.7        10
    240   ACS2          2.820239     0.992650                               2.841169           87.4        10
    241   ACS1          2.772971     0.995232                               2.787897           90.3        10
    241 Discop          2.678720     0.897325                               2.978590           94.4        10
    241   ACS2          2.468101     0.993719                               2.482145          102.9        10
    242   ACS1          2.556351     0.995324                               2.568849           99.6        10
    242 Discop          2.631893     0.890899                               2.939371           95.5        10
    242   ACS2          2.894782     0.995135                               2.908716           87.7        10
    243   ACS1          2.750372     0.993448                               2.769783           92.4        10
    243 Discop          2.494225     0.885909                               2.808974          102.2        10
    243   ACS2          2.951801     0.995478                               2.965916           86.5        10
    244   ACS1          2.804767     0.992463                               2.828614           90.4        10
    244 Discop          2.504234     0.895210                               2.780823          105.8        10
    244   ACS2          2.686581     0.994535                               2.701348           93.5        10
    245   ACS1          2.598454     0.994968                               2.611518          100.3        10
    245 Discop          2.588088     0.890379                               2.896077          100.8        10
    245   ACS2          2.909680     0.992147                               2.933259           85.3        10
    246   ACS1          2.991224     0.990980                               3.020533           84.1        10
    246 Discop          3.007869     0.892343                               3.359414           85.9        10
    246   ACS2          2.851365     0.994566                               2.867103           90.6        10
    247   ACS1          2.928624     0.993591                               2.946528           86.4        10
    247 Discop          2.559841     0.889686                               2.878155           97.9        10
    247   ACS2          3.058969     0.988311                               3.096915           82.5        10
    248   ACS1          2.507633     0.992980                               2.526724          102.8        10
    248 Discop          2.576788     0.884418                               2.905300           99.6        10
    248   ACS2          2.680777     0.992406                               2.703730           97.5        10
    249   ACS1          2.644328     0.992910                               2.666390           98.1        10
    249 Discop          2.673856     0.880911                               3.022830           97.7        10
    249   ACS2          2.864833     0.988916                               2.900765           90.2        10
    250   ACS1          2.656793     0.992601                               2.680814           99.3        10
    250 Discop          2.641468     0.886742                               2.968551          101.0        10
    250   ACS2          2.697136     0.991266                               2.721519           98.1        10
