Method,FID,PSNR (dB),LPIPS,m (bits),N (tokens),Capacity m/N,Entropy rate,Utilization,Embedding time (s/image),Extraction time (s/image)
Pretrained completion,,,,,,,,,,
ACS1,94.90322165997262,15.109390152969867,0.26084336027503013,889.18,128.0,6.94671875,6.946498274287835,1.0000327181087751,4.403879637000009,4.399820437000107
Discop,94.29206731692119,15.041541951036665,0.2636823561787605,851.94,128.0,6.65578125,6.979848000252906,0.9534747594771105,8.786978142999907,4.394571481999992
ACS2,91.63308625417055,15.005485486083234,0.25997746258974075,890.95,128.0,6.960546875,6.959754542011277,1.0001173003618982,4.435918485999719,4.400783318999929
