       R_bits_per_token                   utilization                   entropy_rate_bits_per_token                   mean_N_tokens                    
method             ACS1     ACS2   Discop        ACS1     ACS2   Discop                        ACS1     ACS2   Discop          ACS1      ACS2    Discop
m_bits                                                                                                                                                 
43             6.417910 6.142857 5.890411    0.932662 0.933990 0.872878                    6.881285 6.577004 6.748261      6.700000  7.000000  7.300000
44             6.470588 6.567164 6.285714    0.945195 0.920123 0.885702                    6.845774 7.137272 7.096870      6.800000  6.700000  7.000000
45             6.716418 6.521739 6.000000    0.936803 0.955105 0.879194                    7.169509 6.828294 6.824430      6.700000  6.900000  7.500000
46             6.478873 6.571429 6.216216    0.925301 0.920731 0.894816                    7.001909 7.137187 6.946923      7.100000  7.000000  7.400000
47             6.266667 6.025641 5.875000    0.909805 0.908061 0.900328                    6.887921 6.635722 6.525400      7.500000  7.800000  8.000000
48             6.400000 6.575342 6.075949    0.920721 0.932880 0.881267                    6.951075 7.048436 6.894559      7.500000  7.300000  7.900000
49             6.447368 6.282051 6.363636    0.946977 0.919735 0.910285                    6.808369 6.830284 6.990820      7.600000  7.800000  7.700000
50             6.666667 6.493506 6.329114    0.938783 0.935832 0.892848                    7.101394 6.938753 7.088677      7.500000  7.700000  7.900000
51             6.375000 6.538462 6.071429    0.926832 0.914616 0.902810                    6.878272 7.148861 6.725033      8.000000  7.800000  8.400000
52             6.842105 6.419753 6.046512    0.947485 0.937203 0.907937                    7.221336 6.849906 6.659616      7.600000  8.100000  8.600000
53             7.162162 6.794872 6.543210    0.952787 0.928107 0.894729                    7.517068 7.321215 7.313063      7.400000  7.800000  8.100000
54             6.666667 6.750000 6.506024    0.945032 0.942671 0.901515                    7.054435 7.160501 7.216766      8.100000  8.000000  8.300000
55             6.790123 6.470588 6.962025    0.946751 0.944585 0.927289                    7.172030 6.850192 7.507935      8.100000  8.500000  7.900000
56             6.436782 6.588235 6.222222    0.958420 0.941466 0.895088                    6.716033 6.997847 6.951518      8.700000  8.500000  9.000000
